Intent,Content
0,Hello
0,Hey
0,Hi
0,Hey whatsup
0,Helloooo
0,hello!
0,hey wassup
0,whats up
0,what's up
0,what is up
0,whats going on
0,what's going on
0,hello there
0,Hi! Nice to meet you
0,Hello! Nice to meet you
0,Hi! So nice to meet yo
0,Nice to meet you
0,Nice to meet u
0,Nice 2 meet u
0,Nyce 2 meet u
0,Greetings!
0,Greetings!
0,Howdy!
0,Hello my friend
1,I am good
1,I am doing good
1,I am pretty good
1,I am doing pretty good
1,I am gud
1,I am doin pretty gud
1,I am good thanks for asking
1,I am doing gud thnks for askin
1,I am good thnx for askin
1,I am gud thanx for asking
1,I am gud thnx
1,I am good thankx
1,I am good why thank you
1,"Thanks for asking, I am good."
2,How are you?
2,What about you?
2,What about u?
2,Wht abt u?
2,How r u doin?
2,Hw are u doin
2,How is everything
2,How is u doinh
2,How are u doing?
2,How are you
2,Hw r u 
2,Hw is u
2,How is everything
2,How is it going?
2,Hows it goin
2,How r u doing my friend
2,Are you doing good?
2,Hows you doing?
2,Hows u
3,Tell me about your experience
3,Tell me about your experience here 
3,How has your experience been so far
3,Hows ur experience been so far
3,whats your experience been like since 
3,How has your experience been so far?
3,Hows you experience been
3,Give me something about your experience
3,Tell me something about your experience
3,tell me sum about your experience
3,Let hear your experience here in the US
3,Let me hear about your experience here 
3,Lets talk about your experience so far
3,Lets talk about your experience so far here
3,What has the place been like for you
3,Whats it been like for you here
3,Whats it like for u here
3,"Experience wise, hows it been so far"
4,What was it like back there?
4,Whats it like back there
4,What was the experience like back there
4,What was your experience like back there
4,Tell me about your experience back there
4,tell me about your experience in your country
4,Lets talk about the experience in your country 
4,tell me sum about the experience in ur country.
4,How was your country like
4,Hows ur country like
4,Tell me about the conditions ur country
4,What are the conditions your country like
4,what the about the expeirence in ur country
5,What kinda work did your father do
5,What kind of work did your dad do
5,tell me about your dads job
5,tell me something about ur dads job
5,tell me something about ur father's job
5,lets talk about the kinda u dad did
5,lets talk about the kind of job your father did
5,Tell me sum abt your dads job
5,Tell me sum about ur father's job 
5,Lets talk about your father's occupation
5,What was your father's occupation 
5,What was your dad's occupation
6,How do u support urself
6,How do you support yourself
6,How do you support yourself here
6,How do survive out here
6,What kind of work do you do here
6,What kinda work do u do here
6,What your line of work
6,what kinda line of work is u workin in
7,Do u like where u work
7,do u like your work
7,do u like your work
7,do you like your work
7,do u like the kind of work u do 
7,do u like your line of work
7,do u like working there
7,do u like working where you are working right now
8,Where r u cuurently 
8,where are u right now
8,where are u rn
8,where are you currently
8,where are you as of now
8,where are you as of right now
8,"where are you right now, as in location"
9,What do you think the future will be like 
9,What do u think the future is like
9,What do you think the future looks like
9,What plans do you have for the future
9,What do you think will happen in the future
9,What is your vision for the future
9,What are your visions for the future
9,What do you think you future looks like
10,Do you have kids?
10,Do you have children
10,Do you have any kids
10,Do you have any children of your own
10,Do you have any kids
10,Did you and your wife ever procreate 
10,Did you and your wife ever procreate and if yes how many did you guys make
10,Did you and your wife ever procreate and if yes how many did you guys procreate
10,Tell me sum about your kids
10,Tell me sum abt your children 
10,Tell me sum about your children 
10,Tell me about your kids if you have any
10,tell me about your children 
10,Do tell me something about your kids
10,do tell me sum about your children 
11,What is your favorite thing to do
11,what the thing you like to do the most
11,what is your favorite activity
11,whats your favorite pass time activity
11,whats your fave activity
11,what is your favorite hobby
11,what is your favorite activity
11,what is your favourite activity
11,whats your favourite activity 
